student_id,period,room
1,2,103
1,4/5,105
1,9,107
1,11,109
1,1,102
1,0,101
1,3,104
1,7/8,106
1,10,108
1,12,110
2,2,104
2,4/5,106
2,9,108
2,11,110
2,1,103
2,0,102
2,3,105
2,7/8,107
2,10,109
2,12,111
3,2,105
3,4/5,107
3,9,109
3,11,111
3,1,104
3,0,103
3,3,106
3,7/8,108
3,10,110
3,12,112
4,2,106
4,4/5,108
4,9,110
4,11,112
4,1,105
4,0,104
4,3,107
4,7/8,109
4,10,111
4,12,113
5,2,107
5,4/5,109
5,9,111
5,11,113
5,1,106
5,0,105
5,3,108
5,7/8,110
5,10,112
5,12,114
6,2,108
6,4/5,110
6,9,112
6,11,114
6,1,107
6,0,106
6,3,109
6,7/8,111
6,10,113
6,12,115
7,2,109
7,4/5,111
7,9,113
7,11,115
7,1,108
7,0,107
7,3,110
7,7/8,112
7,10,114
7,12,116
8,2,110
8,4/5,112
8,9,114
8,11,116
8,1,109
8,0,108
8,3,111
8,7/8,113
8,10,115
8,12,117
9,2,111
9,4/5,113
9,9,115
9,11,117
9,1,110
9,0,109
9,3,112
9,7/8,114
9,10,116
9,12,118
10,2,112
10,4/5,114
10,9,116
10,11,118
10,1,111
10,0,110
10,3,113
10,7/8,115
10,10,117
10,12,119
600,2,115
600,4/5,115
600,6/7,115.0
600,9,115
600,11,115
600,1,115
600,0,115
600,3,115
600,7/8,115
600,10,115
600,12,115
601,2,115
601,4/5,115
601,9,115
601,11,115
601,1,115
601,0,115
601,3,115
601,7/8,115
601,10,115
601,12,115
602,2,115
602,4/5,115
602,9,115
602,11,115
602,1,115
602,0,115
602,3,115
602,7/8,115
602,10,115
602,12,115
603,2,114
603,4/5,114
603,9,114
603,11,114
603,1,114
603,0,114
603,3,114
603,7/8,114
603,10,114
603,12,114
604,2,114
604,4/5,114
604,9,114
604,11,114
604,1,114
604,0,114
604,3,114
604,7/8,114
604,10,114
604,12,114
605,2,114
605,4/5,114
605,9,114
605,11,114
605,1,114
605,0,114
605,3,114
605,7/8,114
605,10,114
605,12,114
